"NAME","PCT003106","state","county",
"Churchill County, Nevada","12369","32","001",
"Clark County, Nevada","969076","32","003",
"Douglas County, Nevada","23516","32","005",
"Elko County, Nevada","23464","32","007",
"Esmeralda County, Nevada","349","32","009",
"Eureka County, Nevada","939","32","011",
"Humboldt County, Nevada","7874","32","013",
"Lander County, Nevada","2847","32","015",
"Lincoln County, Nevada","2468","32","017",
"Lyon County, Nevada","25802","32","019",
"Mineral County, Nevada","2422","32","021",
"Nye County, Nevada","21760","32","023",
"Pershing County, Nevada","2485","32","027",
"Storey County, Nevada","1966","32","029",
"Washoe County, Nevada","208663","32","031",
"White Pine County, Nevada","4349","32","033",
"Carson City, Nevada","26586","32","510"